Mm_genes,Hs_genes
Met,MET
Slc16a12,SLC16A12
Syn2,SYN2
Elk1,ELK1
Nav1,NAV1
Tnpo1,TNPO1
Myod1,MYOD1
Otog,OTOG
Rnmt,RNMT
Kcnq1,KCNQ1
Srp14,SRP14
X6330409D20Rik,None
Cdk9,CDK9
Tor2a,TOR2A
Fpgs,FPGS
Mrtfb,MRTFB
Cbx5,CBX5
Odam,ODAM
Apobec3,APOBEC3B
St6galnac1,ST6GALNAC1
Taf7l,TAF7L
Sardh,SARDH
Vav2,VAV2
Tex15,TEX15
Ppp2cb,PPP2CB
G0s2,G0S2
Dmap1,DMAP1
Pla2g12b,PLA2G12B
Mcu,MCU
Oit3,OIT3
Tex11,TEX11
Bcr,BCR
Fxyd5,FXYD5
Kcnd1,KCND1
Tfcp2,TFCP2
Pou6f2,POU6F2
Pou6f1,POU6F1
Ubp1,UBP1
Nuak2,NUAK2
Ick,None
Sdhb,SDHB
Cox4i2,COX4I2
Snap47,SNAP47
Wnt3a,WNT3A
Kdsr,KDSR
Vps4b,VPS4B
Rps25,RPS25
Nxf2,None
Taz,None
Kif19a,None
Aldh3a2,ALDH3A2
Zmynd10,ZMYND10
Tmem115,TMEM115
Hyal2,HYAL2
Ifrd2,None
Hyal1,HYAL1
Tusc2,TUSC2
Nprl2,NPRL2
Slc38a3,SLC38A3
Cacna2d2,CACNA2D2
Rassf1,RASSF1
Epn3,EPN3
Rnf112,RNF112
Slc3a2,SLC3A2
Nxf1,NXF1
Stx5a,None
Slc47a1,SLC47A2
Pifo,PIFO
Tnfrsf13b,TNFRSF13B
Spire2,SPIRE2
Prox1,PROX1
Raver1,RAVER1
X2610507B11Rik,None
AI597479,None
Tmem86a,TMEM86A
Optc,OPTC
Tex14,TEX14
Ifi35,IFI35
Rdm1,RDM1
Nedd8,NEDD8
Gosr1,GOSR1
Mrpl52,MRPL52
Spaca7,SPACA7
Kansl3,KANSL3
Eya4,EYA4
Ebf3,EBF3
Myt1,MYT1
Faf1,FAF1
Gm266,None
Tsacc,TSACC
Mettl16,METTL16
Dazl,DAZL
Apol7a,None
Pigyl,None
Rbm25,RBM25
Psen2,PSEN2
Acaa1b,ACAA1
Plcd1,PLCD1
Fads1,FADS1
Lmbr1,LMBR1
Tnfrsf22,None
Cars,None
Phlda2,PHLDA2
Asz1,ASZ1
Wnt2,WNT2
Gabra1,GABRA1
Grid2ip,GRID2IP
Kdelr3,KDELR3
Cfap97d1,CFAP97D1
Apip,APIP
Pdhx,PDHX
Vac14,VAC14
Mcoln2,MCOLN2
Slc5a1,SLC5A1
Akt1s1,AKT1S1
Tbrg1,TBRG1
Panx3,PANX3
Adssl1,None
Cfap161,CFAP161
Brf1,BRF1
Vipr2,VIPR2
Odc1,ODC1
Thg1l,THG1L
Adam19,ADAM19
Pabpc4,None
Exoc3l2,None
Zfp296,None
Plin5,PLIN5
Sugp1,SUGP1
Dmrtc2,DMRTC2
Dhdh,DHDH
Zfp790,None
Cpb1,None
Slc25a41,SLC25A41
Fsd1,FSD1
Pinlyp,PINLYP
Fuz,FUZ
Sptbn4,None
Pgam1,PGAM1
Evi5,EVI5
Evi5l,None
Snapc2,SNAPC2
Git1,GIT1
Gltp,GLTP
Bnip2,BNIP2
Ccnt1,CCNT1
Scarf2,SCARF2
X4930579F01Rik,None
Brms1l,BRMS1L
Med15,MED15
Dhdds,DHDDS
Crybg2,None
Ubxn11,UBXN11
Mogat1,MOGAT1
Tex22,TEX22
Wnt8a,WNT8A
Tjap1,TJAP1
Ehf,EHF
Nanog,NANOG
Rpl15,RPL15
Tmem167,None
Steap4,STEAP4
Mplkip,MPLKIP
Kif11,KIF11
Rpa3,RPA3
Mlkl,MLKL
Phox2b,PHOX2B
Tnpo3,TNPO3
Ttll5,TTLL5
Zfp715,None
Retn,RETN
Acp4,ACP4
Cdh23,CDH23
Rps5,RPS5
Podnl1,PODNL1
Adgrl1,ADGRL1
Amotl1,AMOTL1
X2200002J24Rik,None
Etv5,ETV5
Tmem190,TMEM190
Gfod2,GFOD2
Enkd1,ENKD1
X4933405L10Rik,None
Atp6v0d1,ATP6V0D1
Ptprs,PTPRS
Slc41a1,SLC41A1
Fer1l4,FER1L4
X4931406B18Rik,None
Iglon5,IGLON5
Igf2bp1,IGF2BP1
B4galnt2,B4GALNT2
Zfp651,None
Nelfb,NELFB
Card14,CARD14
Tmem175,TMEM175
Bcas1,BCAS1
Tango2,TANGO2
Aldh1a2,ALDH1A2
Ndufs2,NDUFS2
Snx31,SNX31
Atraid,ATRAID
Cad,CAD
Lypd8,LYPD8
Sh3bp5l,SH3BP5L
X1810065E05Rik,None
Atad1,ATAD1
Pten,PTEN
X4933402N03Rik,None
Pea15a,None
Timm23,TIMM23B
Tnfaip8l2,TNFAIP8L2
Trnt1,TRNT1
Ly6g6e,LY6G6E
Ehmt2,EHMT2
Elof1,ELOF1
Med16,MED16
St3gal1,ST3GAL1
Tmem259,TMEM259
Rnf170,RNF170
Clip3,CLIP3
LOC108167416,None
Myl2,MYL2
Dedd,DEDD
Mcemp1,MCEMP1
Nit1,NIT1
Pax5,PAX5
Prdm15,PRDM15
Rnf168,RNF168
Tctex1d2,None
Chp1,CHP1
Sval2,None
Trpv4,TRPV4
Klhl3,KLHL3
Tvp23b,TVP23B
Dnajc7,DNAJC7
Zfp385c,None
Cacybp,CACYBP
Cluap1,CLUAP1
Zswim7,ZSWIM7
Pigl,PIGL
Ndufa2,NDUFA2
Pam16,PAM16
Glis2,GLIS2
Cox6c,COX6C
Bicc1,BICC1
Ube2z,UBE2Z
Gip,GIP
Tmem87b,TMEM87B
Anapc1,ANAPC1
Mertk,MERTK
Tsg101,TSG101
Hps5,HPS5
Map3k4,MAP3K4
Piezo1,PIEZO1
Blk,BLK
Rnf166,RNF166
Ankrd28,ANKRD28
Ankrd52,ANKRD52
Pkd2l2,PKD2L2
Srp19,SRP19
Tmbim7,None
Clec4f,CLEC4F
Klra17,None
Wdfy2,WDFY2
Rbsn,RBSN
Mrps25,MRPS25
Dguok,DGUOK
Camta1,CAMTA1
Csf1,CSF1
Strip1,STRIP1
Kif1a,KIF1A
Alx3,ALX3
Slc25a11,SLC25A11
Chrne,CHRNE
Cmc2,CMC2
Chfr,CHFR
Ceacam16,CEACAM16
Hoxa2,HOXA2
Adam28,ADAM28
Ankrd53,ANKRD53
Tex261,TEX261
Fam120b,FAM120B
Tbp,TBP
Psmb1,PSMB1
Pdcd2,PDCD2
Dll1,DLL1
Nol3,NOL3
Fhod1,FHOD1
Plekhg4,None
Slc9a5,None
Elmo3,ELMO3
Stc1,STC1
X4931428F04Rik,None
Tppp3,TPPP3
Msh3,MSH3
Adamts13,ADAMTS13
Tmem208,TMEM208
E2f4,E2F4
Surf4,SURF4
Surf2,SURF2
Dnajb9,DNAJB9
Naf1,NAF1
Yes1,YES1
Ppp1cb,PPP1CB
Gorasp2,GORASP2
Tsen15,TSEN15
Oc90,OC90
Efr3a,EFR3A
Trappc2l,TRAPPC2L
Acsf3,ACSF3
Ddx19a,DDX19A
Galns,GALNS
Gata2,GATA2
C8g,C8G
Entpd2,ENTPD2
Rabl6,RABL6
Ptgds,PTGDS
Edf1,EDF1
Clic3,CLIC3
Npdc1,NPDC1
Fbxw5,FBXW5
Slc25a13,SLC25A13
Ube2i,UBE2I
Tsr3,TSR3
Unkl,UNKL
Lrrk1,LRRK1
Aldh1a3,ALDH1A3
Actn1,ACTN1
Sirt2,SIRT2
Hnrnpl,HNRNPL
Nolc1,NOLC1
Casd1,CASD1
Cnksr3,CNKSR3
Mtmr1,MTMR1
Hmgb3,HMGB3
Map2,MAP2
Cyp2j9,None
Nipsnap3a,None
Abca1,ABCA1
Nipsnap3b,NIPSNAP3B
Lage3,LAGE3
Ubl4a,UBL4A
Gdi1,GDI1
Sash1,SASH1
Gadd45b,GADD45B
Slamf6,SLAMF6
Slamf1,SLAMF1
Zdhhc12,ZDHHC12
Endog,ENDOG
Cybb,CYBB
Golga7,GOLGA7
Xk,XK
Pcolce2,PCOLCE2
Cd48,CD48
Clpx,CLPX
Trabd,TRABD
Mov10l1,MOV10L1
Dennd6b,DENND6B
Cd83,CD83
Cltrn,CLTRN
Ace2,ACE2
Gzmb,None
Gzmf,GZMH
Gzmn,None
Ager,AGER
Atf6b,ATF6B
Egfl8,EGFL8
Notch4,NOTCH4
Ppt2,PPT2
Prrt1,PRRT1
Rnf5,RNF5
Fam163a,FAM163A
Cacfd1,CACFD1
Hivep2,HIVEP2
X2310057J18Rik,None
Arnt,ARNT
Itga2,ITGA2
Mocs2,MOCS2
Nat9,NAT9
Lpl,LPL
Atp6v0e,None
Nkx2.5,None
Zfp318,None
Ttbk1,TTBK1
Srf,SRF
Gata3,GATA3
Gata5,GATA5
Lama5,LAMA5
Steap1,STEAP1
Steap2,STEAP2
Hspa8,HSPA8
Serac1,SERAC1
Awat1,AWAT1
Pdzd11,PDZD11
Psma2,PSMA2
Mrpl32,MRPL32
Setdb1,SETDB1
Anxa9,ANXA9
Arnt2,ARNT2
Prune1,PRUNE1
Cers2,CERS2
Nlrp5,NLRP5
Capza2,CAPZA2
Plekho1,PLEKHO1
Vps45,VPS45
Prpf3,PRPF3
Anp32e,ANP32E
Aph1a,APH1A
Tab2,TAB2
Ppil4,PPIL4
Cnih1,CNIH1
Eps8,EPS8
Med22,MED22
Abo,ABO
Surf1,SURF1
Med28,MED28
Qdpr,QDPR
Gnrh1,GNRH1
Tnr,TNR
Sqstm1,SQSTM1
Nfe2l2,NFE2L2
Rxrg,RXRG
Rxra,RXRA
Adamtsl4,ADAMTSL4
Fcrls,None
Cd5l,CD5L
Prpsap1,PRPSAP1
Fam184b,FAM184B
Ncapg,None
Lcorl,LCORL
Lta4h,LTA4H
Amdhd1,AMDHD1
Dstn,DSTN
Macroh2a1,MACROH2A1
Gtf2ird2,GTF2IRD2B
Bola1,BOLA1
Castor2,CASTOR3
Fcgr1,FCGR1A
Ncf1,NCF1
Wnt11,WNT11
Adss,None
X1700016C15Rik,None
Il17rb,IL17RB
Cacna1d,CACNA1D
Chdh,CHDH
Actr8,ACTR8
Lrrc27,LRRC27
Stk32c,STK32C
Fnta,FNTA
Mtrex,MTREX
Lbp,LBP
Celsr1,CELSR1
Fli1,FLI1
Stard13,STARD13
Tenm1,TENM1
Camk1g,CAMK1G
Utp25,None
Hsd11b1,HSD11B1
Syt14,SYT14
H2.M3,None
Lonrf3,LONRF3
Atp5e,None
Nelfcd,NELFCD
Tubb1,TUBB1
Ctsz,CTSZ
Prelid3b,PRELID3B
Sertad4,SERTAD4
H2.M2,None
Ube2a,UBE2A
Slc25a5,SLC25A5
Atp1b4,ATP1B4
Ppdpf,PPDPF
Kcnq2,KCNQ2
Eef1a2,EEF1A2
Col20a1,COL20A1
Pls3,PLS3
Mpped2,MPPED2
Nkap,NKAP
Ndufa1,NDUFA1
Wt1,WT1
E2f3,E2F3
Cr1l,CR1L
Ppfibp1,PPFIBP1
Cd46,CD46
Cd34,CD34
Plgrkt,PLGRKT
Cd274,CD274
Pdcd1lg2,PDCD1LG2
Gtf3a,GTF3A
Mtif3,MTIF3
Lnx2,LNX2
Il19,IL19
Dyrk3,DYRK3
Mapkapk2,MAPKAPK2
Il10,IL10
Lamp2,LAMP2
Atxn10,ATXN10
Foxred2,FOXRED2
Eif3d,EIF3D
H3f3b,None
Nup50,NUP50
Phf21b,PHF21B
Nlrp14,NLRP14
Ift27,IFT27
Pacsin2,PACSIN2
Cmah,CMAHP
Ttll12,TTLL12
Bik,BIK
Scube1,SCUBE1
Tox4,TOX4
Mrps18c,MRPS18C
Sulf1,SULF1
Srsf6,SRSF6
Plcg1,PLCG1
Kctd2,KCTD2
Tmprss6,TMPRSS6
Kctd5,KCTD5
Pom121l2,POM121L2
Etaa1,ETAA1
Matn4,MATN4
Svs4,None
Svs6,None
Slpi,SLPI
Svs3a,None
Svs5,None
Rbpjl,RBPJL
Sdc4,SDC4
Ccdc70,CCDC70
Il13ra1,IL13RA1
Prl5a1,None
Nbr1,NBR1
Cyth1,CYTH1
Rnd3,RND3
Brca1,BRCA1
Gast,GAST
Cntnap1,CNTNAP1
Nt5c3b,NT5C3B
Coa3,COA3
Zpbp2,ZPBP2
Gsdma,GSDMA
Med24,MED24
Psmd3,PSMD3
Exosc10,EXOSC10
Glod4,GLOD4
Vps53,VPS53
Taok1,TAOK1
Dnttip1,DNTTIP1
Tnnc2,TNNC2
Acot8,ACOT8
Cd300lg,CD300LG
Spint4,SPINT4
Pyy,PYY
Mpp2,MPP2
Ppy,PPY
Vtn,VTN
Nlk,NLK
Traf4,TRAF4
Aldoc,ALDOC
Stac2,STAC2
Rpl19,RPL19
Nek8,NEK8
Cacnb4,CACNB4
Plxdc1,PLXDC1
Arl5b,ARL5B
Zfp207,None
Psmd11,PSMD11
C1qtnf1,C1QTNF1
Pipox,PIPOX
Timp2,TIMP2
Zc3h18,ZC3H18
Top2b,TOP2B
Rarb,RARB
Igfbp4,IGFBP4
Cdc6,CDC6
Suz12,SUZ12
Atad5,ATAD5
Crlf3,CRLF3
Krt27,KRT27
Tns4,TNS4
Tnfaip1,TNFAIP1
Abr,ABR
Rab11fip4,RAB11FIP4
Cd40,CD40
Slc35c2,SLC35C2
Zfp334,None
Elmo2,ELMO2
Wsb1,WSB1
Ttpal,TTPAL
Rhot1,RHOT1
Hnf4g,HNF4G
Rhbdl3,RHBDL3
Ada,ADA
Serinc3,SERINC3
Tha1,None
Pgs1,PGS1
Birc5,BIRC5
Afmid,AFMID
Trp53tg5,None
Pigt,PIGT
Wfdc2,WFDC2
Etv4,ETV4
Eppin,EPPIN-WFDC6
Dbndd2,DBNDD2
Mmp9,MMP9
Slc12a5,SLC12A5
Ghdc,GHDC
Pltp,PLTP
Slc12a7,SLC12A7
Ctsa,CTSA
Zswim1,ZSWIM1
Slc12a4,SLC12A4
Spata25,SPATA25
Myo1c,MYO1C
Crk,CRK
Cox7c,COX7C
Pitpna,PITPNA
Mlx,MLX
Retreg3,RETREG3
Jph2,JPH2
Dhx58,DHX58
Rab5a,RAB5A
Hspb9,HSPB9
Nkiras2,NKIRAS2
Ppp2r5c,PPP2R5C
Ift52,IFT52
Mybl2,MYBL2
Sgk2,SGK2
Eya2,EYA2
Prl3c1,None
B4galt5,B4GALT5
Gdap1l1,GDAP1L1
Hnf4a,HNF4A
Ptgis,PTGIS
Cadps2,CADPS2
Ddx27,DDX27
Cyth3,CYTH3
Cyth4,CYTH4
Rac3,RAC3
Rrp7a,RRP7A
Cyb5r3,CYB5R3
Ints2,INTS2
Med13l,MED13L
H2bc4,H2BC10
Baiap2l2,BAIAP2L2
Mafk,MAFK
Med1,MED1
Erbb3,ERBB3
Stard3,STARD3
Ikzf3,IKZF3
Mfng,MFNG
Vmp1,VMP1
Uchl5,UCHL5
Glrx2,GLRX2
Ro60,None
Stk4,STK4
Wfdc15b,None
Pmp22,PMP22
Gdf9,GDF9
Zcchc10,ZCCHC10
Prl8a2,None
Tbx5,TBX5
Psmb6,PSMB6
Spag7,SPAG7
Pfn1,PFN1
Tomm34,TOMM34
Ywhab,YWHAB
Ksr1,KSR1
Gpx3,GPX3
Anxa6,ANXA6
Il12rb2,IL12RB2
Zkscan6,None
Kpna2,KPNA2
Smurf2,SMURF2
Cep95,CEP95
Vezf1,None
X2210416O15Rik,None
Srsf1,SRSF1
Abi3,ABI3
Shroom1,SHROOM1
Kif3a,KIF3A
Sept8,None
Mtmr4,MTMR4
Mrm1,MRM1
Mapt,MAPT
Kansl1,KANSL1
Gid4,GID4
Myo1b,MYO1B
Dhx40,DHX40
Ypel2,YPEL2
Akap1,AKAP1
Nol11,NOL11
Derl2,DERL2
C1qbp,C1QBP
Rpain,RPAIN
X6330403K07Rik,None
Slc13a3,SLC13A3
Kcnab3,KCNAB3
Chd3,None
Kdm6b,KDM6B
X1700125H20Rik,None
Appbp2,APPBP2
Wnt9b,WNT9B
Adora2b,ADORA2B
Ncor1,NCOR1
Trpv2,TRPV2
Cenpv,CENPV
Pcgf2,PCGF2
Cwc25,CWC25
X1700001P01Rik,None
Pip4k2b,PIP4K2B
Trim37,TRIM37
Ybx2,YBX2
Ctdnep1,CTDNEP1
Elp5,ELP5
Slc2a4,SLC2A4
Gabarap,GABARAP
Cldn7,CLDN7
X2810408A11Rik,None
Phf23,PHF23
Acadvl,ACADVL
Dnah11,None
G3bp1,G3BP1
Atox1,ATOX1
Glra2,GLRA2
Sparc,SPARC
Glra4,GLRA4
Mief2,MIEF2
Tbx3,TBX3
Mmp20,MMP20
Mmp7,MMP7
Crhr1,CRHR1
Dusp14,DUSP14
Tada2a,TADA2A
Ikzf1,IKZF1
Tcaf3,None
Pnpo,PNPO
Cog1,COG1
Cbx1,CBX1
Cdk5rap3,CDK5RAP3
Copz2,COPZ2
Slc25a39,SLC25A39
Sp2,SP2
Aatf,AATF
Lhx1,LHX1
Dync1h1,DYNC1H1
Cpsf4l,None
Pex12,PEX12
Ndel1,NDEL1
Slc25a35,SLC25A35
Zbtb4,ZBTB4
Tnfsfm13,None
Mpdu1,MPDU1
Fxr2,FXR2
Atp5g3,None
Cd68,CD68
Slc35g3,SLC35G6
Acsl1,ACSL1
Abca5,ABCA5
Smyd4,SMYD4
Lsp1,LSP1
Zfyve27,ZFYVE27
Avpi1,AVPI1
Sfrp5,SFRP5
Myh11,MYH11
Rad51d,RAD51D
Fndc8,FNDC8
Unc45b,UNC45B
Pank3,PANK3
Rars,None
Wwc1,WWC1
Mrpl58,MRPL58
Fdxr,FDXR
Otop3,OTOP3
Sult4a1,SULT4A1
Pnpla5,PNPLA5
Mrpl45,MRPL45
Mb,MB
Irf1,IRF1
Slc22a5,SLC22A5
P4ha2,P4HA2
Alox12e,None
Arrb1,ARRB1
Il3,IL3
Csf2,CSF2
Tm4sf5,None
Cxcl16,CXCL16
Pelp1,PELP1
Med11,MED11
Alox15,ALOX15
Heatr9,HEATR9
Ccl6,None
Ccl4,CCL4
Natd1,NATD1
Map2k3,MAP2K3
Ywhah,YWHAH
Hoxb1,HOXB1
Sart3,SART3
E2f2,E2F2
Slfn3,None
Nars2,NARS2
Slc35b4,SLC35B4
Dnah1,DNAH1
Dalrd3,DALRD3
Fis1,FIS1
Plod1,PLOD1
Rab3d,RAB3D
Mfsd3,MFSD3
Slc25a22,SLC25A22
Atp6ap1,ATP6AP1
Dnase1l1,DNASE1L1
Aldh3a1,ALDH3A1
Ccl9,None
Scrn1,SCRN1
BC005537,None
Isyna1,ISYNA1
Hars2,HARS2
Cacng2,CACNG2
Tmem160,TMEM160
Rab5c,RAB5C
Styxl1,None
Mdh2,MDH2
H13,None
Rnf145,RNF145
Scn1b,SCN1B
Atp6v1e1,ATP6V1E1
Chtf18,CHTF18
Lhx9,LHX9
Etnppl,ETNPPL
Rps6kl1,RPS6KL1
Ppp1r12c,PPP1R12C
Ahr,AHR
Map1s,MAP1S
Dpep1,DPEP1
Tmem129,TMEM129
Nop9,NOP9
Hsd17b1,HSD17B1
Atp6v0a1,ATP6V0A1
Psmc3ip,PSMC3IP
Grb7,GRB7
Noxo1,NOXO1
Aoc3,AOC3
Zfp687,None
Gdpd2,GDPD2
D8Ertd738e,C19orf53
Sec14l4,SEC14L4
Calm3,CALM3
Cops3,COPS3
Fkbp8,FKBP8
Ffar3,FFAR3
Ddx39b,DDX39B
Gipc1,GIPC1
Tlcd1,TLCD1
Plscr3,PLSCR3
Ptger1,PTGER1
Arhgef25,ARHGEF25
Xab2,XAB2
Cdc37,CDC37
Rab4a,RAB4A
Trip10,TRIP10
Cd70,CD70
Cops6,COPS6
Ubb,UBB
Ap4m1,AP4M1
Gyg,None
Rcn3,RCN3
Slc6a8,SLC6A8
Arid3a,ARID3A
Pdk4,PDK4
Ubxn6,UBXN6
Mydgf,MYDGF
Cyb561,CYB561
Sema6a,SEMA6A
Ccdc12,CCDC12
Fmc1,FMC1
Akt3,AKT3
Mrpl24,MRPL24
Gle1,GLE1
L3hypdh,L3HYPDH
Lyst,LYST
Slc35e1,SLC35E1
Calr3,CALR3
Tmc4,TMC4
Syne4,SYNE4
Polr2i,POLR2I
Prl8a1,None
Krt10,KRT10
Iyd,IYD
Rmnd1,RMND1
Ccdc170,None
Esr1,ESR1
Vip,VIP
Fbxo5,FBXO5
Mtrf1l,MTRF1L
Rgs17,RGS17
Hdac2,HDAC2
Frk,FRK
Rwdd1,RWDD1
Clvs2,CLVS2
Trdn,TRDN
Hey2,HEY2
Stxbp5,STXBP5
Hint3,HINT3
Trmt11,TRMT11
Katna1,KATNA1
Pcmt1,PCMT1
Lrp11,LRP11
X1700021F05Rik,None
Sec63,SEC63
Nr2e1,NR2E1
Snx3,SNX3
Aig1,AIG1
Adat2,ADAT2
Pex3,PEX3
Fuca2,FUCA2
Cep57l1,CEP57L1
Ltv1,LTV1
Zc2hc1b,ZC2HC1B
Plagl1,None
Cd164,CD164
Utrn,None
Smpd2,SMPD2
Mical1,MICAL1
Zbtb24,ZBTB24
Grm1,GRM1
Wasf1,WASF1
Rab32,RAB32
Slc22a16,SLC22A16
Gtf3c6,GTF3C6
Slc16a10,SLC16A10
Rev3l,REV3L
Traf3ip2,TRAF3IP2
Fyn,FYN
Tube1,TUBE1
Lama4,LAMA4
Popdc3,POPDC3
Prep,PREP
Tnfaip3,TNFAIP3
Perp,PERP
Arfgef3,ARFGEF3
Hebp2,HEBP2
Reps1,REPS1
Fam184a,None
Asf1a,ASF1A
Gopc,GOPC
Qrsl1,QRSL1
Rtn4ip1,RTN4IP1
Nmbr,NMBR
Crybg1,None
Gje1,GJE1
Vta1,VTA1
Smpdl3a,SMPDL3A
Reep3,REEP3
Fabp7,FABP7
Pkib,PKIB
Serinc1,SERINC1
Hsf2,HSF2
Rspo3,RSPO3
Echdc1,ECHDC1
Mgat4c,MGAT4C
Ptprk,PTPRK
Nts,NTS
Dcbld1,DCBLD1
Lrriq1,LRRIQ1
Ros1,ROS1
Slc6a15,SLC6A15
Ccdc59,CCDC59
Lama2,LAMA2
Rfx6,RFX6
Gprc6a,GPRC6A
Lin7a,LIN7A
Ppp1r12a,PPP1R12A
Fam162b,FAM162B
Sim1,SIM1
P4ha1,P4HA1
Sept10,None
Lims1,LIMS1
Zwint,ZWINT
Ube2d1,UBE2D1
Dcn,DCN
Kera,KERA
Mrln,MRLN
Slc17a8,SLC17A8
Epyc,EPYC
Cdk1,CDK1
Atp2b1,ATP2B1
Rhobtb1,RHOBTB1
Cabcoco1,CABCOCO1
Arid5b,ARID5B
Actr6,ACTR6
Uhrf1bp1l,UHRF1BP1L
Poc1b,POC1B
Dusp6,DUSP6
Tmpo,TMPO
Kitl,None
Psen1,PSEN1
Sgk1,SGK1
Cep290,CEP290
Ikbip,IKBIP
Hbs1l,HBS1L
Epb41l2,EPB41L2
Apaf1,APAF1
Myb,MYB
Med23,MED23
Ahi1,AHI1
Arg1,ARG1
Nedd1,NEDD1
Enpp3,ENPP3
Pde7b,PDE7B
Mtfr2,MTFR2
Map7,MAP7
Ccn2,CCN2
Stx7,STX7
Moxd1,MOXD1
Pex7,PEX7
Il20ra,IL20RA
Ifngr1,IFNGR1
Vnn3,VNN3
Cfap54,CFAP54
Cdk17,CDK17
Hal,HAL
Snrpf,SNRPF
Ntn4,NTN4
Usp44,USP44
Fgd6,FGD6
Ndufa12,NDUFA12
Tmcc3,TMCC3
Cep83,CEP83
Socs2,SOCS2
Nudt4,NUDT4
Nuak1,NUAK1
Tcp11l2,TCP11L2
Rfx4,RFX4
Cry1,CRY1
Btbd11,BTBD11
Timp3,TIMP3
Hsp90b1,HSP90B1
Pah,PAH
Ascl1,ASCL1
Igf1,IGF1
Washc3,WASHC3
Dram1,DRAM1
Sycp3,SYCP3
Mybpc1,None
Slc5a8,SLC5A8
Sirt1,SIRT1
Herc4,HERC4
Mypn,MYPN
Hnrnph3,None
Rufy2,RUFY2
Pbld2,None
Ccar1,CCAR1
Ddx21,DDX21
Ddx50,DDX50
Srgn,SRGN
Vps26a,VPS26A
Supv3l1,SUPV3L1
Hkdc1,HKDC1
Tacr2,TACR2
Fam241b,FAM241B
Aifm2,AIFM2
Macroh2a2,MACROH2A2
Tysnd1,TYSND1
Sar1a,SAR1A
Ppa1,PPA1
Npffr1,None
Eif4ebp2,EIF4EBP2
Pald1,PALD1
Tbata,TBATA
Sgpl1,SGPL1
Pcbd1,PCBD1
Unc5b,UNC5B
Slc29a3,SLC29A3
Vsir,VSIR
Slc16a7,SLC16A7
Lrig3,LRIG3
Anapc16,ANAPC16
Ddit4,DDIT4
Dnajb12,DNAJB12
Micu1,MICU1
Cand1,CAND1
Tbk1,TBK1
Pno1,PNO1
Plek,PLEK
Srgap1,SRGAP1
Egfr,EGFR
Avpr1a,AVPR1A
Usp15,USP15
Elane,ELANE
Vps54,VPS54
Tbc1d15,TBC1D15
Pcsk4,PCSK4
Rab21,RAB21
X2310011J03Rik,None
Peli1,PELI1
Apc2,APC2
Thap2,THAP2
Lgr5,LGR5
Slc1a4,SLC1A4
Dock2,DOCK2
Rab1a,None
Gamt,GAMT
Ptprr,PTPRR
Actr2,ACTR2
Ndufs7,NDUFS7
Ptprb,PTPRB
Kcnmb1,KCNMB1
Pwwp3a,PWWP3A
Gabrp,GABRP
Meis1,MEIS1
Uqcr11,UQCR11
Cnot2,CNOT2
Tcf3,TCF3
Olfr299,None
Best3,BEST3
Frs2,FRS2
Yeats4,YEATS4
Cobl,COBL
Rab36,RAB36
Grb10,GRB10
X9530003J23Rik,None
Adora2a,ADORA2A
Snrpd3,SNRPD3
Nav3,NAV3
Ddc,DDC
Cpm,CPM
Mdm2,MDM2
E2f7,E2F7
Csrp2,CSRP2
Osbpl8,OSBPL8
Mknk2,MKNK2
Spata48,SPATA48
Zpbp,ZPBP
Cabin1,None
Ap3d1,AP3D1
Phlda1,PHLDA1
Sf3a2,SF3A2
Mdm1,MDM1
Glipr1l1,GLIPR1L1
Glipr1l2,GLIPR1L2
Jsrp1,JSRP1
Wif1,WIF1
Timm13,TIMM13
Vps13d,None
Llph,LLPH
Tmbim4,TMBIM4
Slc5a4b,None
Irak3,IRAK3
Helb,HELB
Slc5a4a,SLC5A4
Prmt2,PRMT2
Dip2a,DIP2A
Hmg20b,HMG20B
X4930404N11Rik,None
Fzr1,FZR1
Ncln,NCLN
Col6a2,COL6A2
Hcfc2,HCFC2
Nfyb,NFYB
Txnrd1,TXNRD1
Glt8d2,GLT8D2
Ppm1m,PPM1M
D10Wsu102e,C12orf45
Aldh1l2,ALDH1L2
Wdr82,WDR82
Glyctk,GLYCTK
Pofut2,POFUT2
Slc36a1,SLC36A1
Adarb1,ADARB1
Appl2,APPL2
Slc36a2,SLC36A2
Sumo3,SUMO3
Hint1,HINT1
Lyrm7,LYRM7
Smim23,SMIM23
Fbxw11,FBXW11
Stk10,STK10
Papolg,PAPOLG
Rel,REL
Pfkl,PFKL
Il9r,IL9R
Pus10,PUS10
Rhbdf1,RHBDF1
Pex13,PEX13
Cfap410,CFAP410
X1700093K21Rik,None
Mpg,MPG
Ahsa2,AHSA2P
Nprl3,NPRL3
Xpo1,XPO1
Hbq1a,None
Nsg2,NSG2
X4930524B15Rik,None
Cpeb4,CPEB4
Stc2,STC2
Asb3,GPR75-ASB3
Cdc34,CDC34
Tpgs1,TPGS1
Chac2,CHAC2
Madcam1,MADCAM1
Erlec1,ERLEC1
Shc2,SHC2
Sptbn1,SPTBN1
Theg,THEG
Wdpcp,WDPCP
Mdh1,MDH1
Prss57,PRSS57
Fstl3,FSTL3
Ccng1,CCNG1
Fgf22,FGF22
Nudcd2,NUDCD2
Polrmt,POLRMT
Hmmr,HMMR
Hcn2,HCN2
Meikin,MEIKIN
Acsl6,ACSL6
Slc22a4,SLC22A4
